cntry,year,sex,e0,edagger,kentro
AUS,1922,female,65.12,17.06,1.34
AUS,1922,male,60.88,18.11,1.21
AUS,1923,female,63.67,17.44,1.30
AUS,1923,male,59.99,18.24,1.19
AUS,1924,female,64.52,17.43,1.31
AUS,1924,male,60.77,18.07,1.21
AUS,1925,female,65.39,17.07,1.34
AUS,1925,male,61.30,17.85,1.23
AUS,1926,female,65.08,17.05,1.34
AUS,1926,male,61.00,17.79,1.23
AUS,1927,female,64.86,17.08,1.33
AUS,1927,male,61.10,17.83,1.23
AUS,1928,female,64.72,17.20,1.33
AUS,1928,male,61.34,17.88,1.23
AUS,1929,female,65.39,16.64,1.37
AUS,1929,male,61.10,17.54,1.25
AUS,1930,female,66.90,16.57,1.40
AUS,1930,male,63.15,17.28,1.30
AUS,1931,female,67.34,15.87,1.45
AUS,1931,male,63.55,16.57,1.34
AUS,1932,female,67.60,15.78,1.45
AUS,1932,male,63.84,16.45,1.36
AUS,1933,female,67.46,15.66,1.46
AUS,1933,male,63.65,16.24,1.37
AUS,1934,female,66.69,16.03,1.43
AUS,1934,male,63.09,16.56,1.34
AUS,1935,female,67.17,15.65,1.46
AUS,1935,male,63.18,16.36,1.35
AUS,1936,female,67.21,15.98,1.44
AUS,1936,male,63.38,16.57,1.34
AUS,1937,female,67.96,15.42,1.48
AUS,1937,male,63.76,16.18,1.37
AUS,1938,female,67.93,15.24,1.49
AUS,1938,male,63.80,16.13,1.37
AUS,1939,female,68.07,14.93,1.52
AUS,1939,male,63.64,15.86,1.39
AUS,1940,female,68.64,15.04,1.52
AUS,1940,male,63.93,16.00,1.39
AUS,1941,female,68.23,14.95,1.52
AUS,1941,male,64.05,15.82,1.40
AUS,1942,female,67.89,14.90,1.52
AUS,1942,male,63.89,15.45,1.42
AUS,1943,female,68.25,14.80,1.53
AUS,1943,male,64.57,15.18,1.45
AUS,1944,female,69.79,14.24,1.59
AUS,1944,male,66.25,14.70,1.51
AUS,1945,female,70.28,13.93,1.62
AUS,1945,male,66.62,14.40,1.53
AUS,1946,female,70.15,13.86,1.62
AUS,1946,male,65.87,14.47,1.52
AUS,1947,female,70.96,13.58,1.65
AUS,1947,male,66.28,14.54,1.52
AUS,1948,female,71.00,13.18,1.68
AUS,1948,male,66.14,14.30,1.53
AUS,1949,female,71.78,13.14,1.70
AUS,1949,male,66.64,14.16,1.55
AUS,1950,female,71.72,12.96,1.71
AUS,1950,male,66.51,14.10,1.55
AUS,1951,female,71.59,12.98,1.71
AUS,1951,male,66.08,14.18,1.54
AUS,1952,female,72.04,12.83,1.73
AUS,1952,male,66.45,14.09,1.55
AUS,1953,female,72.56,12.71,1.74
AUS,1953,male,67.06,13.97,1.57
AUS,1954,female,72.79,12.55,1.76
AUS,1954,male,67.18,13.73,1.59
AUS,1955,female,73.25,12.42,1.77
AUS,1955,male,67.34,13.72,1.59
AUS,1956,female,73.05,12.26,1.79
AUS,1956,male,67.29,13.39,1.61
AUS,1957,female,73.46,12.37,1.78
AUS,1957,male,67.45,13.72,1.59
AUS,1958,female,74.02,12.31,1.79
AUS,1958,male,67.96,13.60,1.61
AUS,1959,female,73.74,12.21,1.80
AUS,1959,male,67.44,13.54,1.61
AUS,1960,female,74.05,12.27,1.80
AUS,1960,male,67.95,13.42,1.62
AUS,1961,female,74.52,12.14,1.81
AUS,1961,male,68.04,13.45,1.62
AUS,1962,female,74.29,12.13,1.81
AUS,1962,male,67.81,13.39,1.62
AUS,1963,female,74.30,12.19,1.81
AUS,1963,male,67.90,13.34,1.63
AUS,1964,female,73.97,12.12,1.81
AUS,1964,male,67.48,13.23,1.63
AUS,1965,female,74.24,12.19,1.81
AUS,1965,male,67.66,13.31,1.63
AUS,1966,female,74.07,12.04,1.82
AUS,1966,male,67.58,13.18,1.63
AUS,1967,female,74.56,12.13,1.82
AUS,1967,male,67.83,13.28,1.63
AUS,1968,female,74.23,11.97,1.82
AUS,1968,male,67.46,13.07,1.64
AUS,1969,female,74.68,12.16,1.82
AUS,1969,male,67.76,13.33,1.63
AUS,1970,female,74.19,12.17,1.81
AUS,1970,male,67.44,13.22,1.63
AUS,1971,female,74.88,12.05,1.83
AUS,1971,male,68.23,13.16,1.65
AUS,1972,female,75.31,11.91,1.84
AUS,1972,male,68.48,13.05,1.66
AUS,1973,female,75.71,11.77,1.86
AUS,1973,male,68.68,13.06,1.66
AUS,1974,female,75.51,11.66,1.87
AUS,1974,male,68.47,12.95,1.67
AUS,1975,female,76.41,11.78,1.87
AUS,1975,male,69.37,13.02,1.67
AUS,1976,female,76.41,11.49,1.89
AUS,1976,male,69.40,12.72,1.70
AUS,1977,female,77.06,11.55,1.90
AUS,1977,male,70.07,12.87,1.69
AUS,1978,female,77.33,11.57,1.90
AUS,1978,male,70.33,12.79,1.70
AUS,1979,female,77.99,11.32,1.93
AUS,1979,male,70.85,12.71,1.72
AUS,1980,female,78.23,11.21,1.94
AUS,1980,male,71.09,12.55,1.73
AUS,1981,female,78.43,11.16,1.95
AUS,1981,male,71.30,12.47,1.74
AUS,1982,female,78.29,11.01,1.96
AUS,1982,male,71.31,12.30,1.76
AUS,1983,female,78.82,11.18,1.95
AUS,1983,male,72.15,12.27,1.77
AUS,1984,female,78.85,11.03,1.97
AUS,1984,male,72.27,12.18,1.78
AUS,1985,female,78.67,10.89,1.98
AUS,1985,male,72.27,12.09,1.79
AUS,1986,female,79.31,10.90,1.98
AUS,1986,male,72.90,12.15,1.79
AUS,1987,female,79.34,10.80,1.99
AUS,1987,male,72.91,12.01,1.80
AUS,1988,female,79.60,10.78,2.00
AUS,1988,male,73.18,11.99,1.81
AUS,1989,female,79.38,10.54,2.02
AUS,1989,male,73.11,11.77,1.83
AUS,1990,female,80.15,10.64,2.02
AUS,1990,male,73.97,11.86,1.83
AUS,1991,female,80.49,10.58,2.03
AUS,1991,male,74.49,11.76,1.85
AUS,1992,female,80.48,10.48,2.04
AUS,1992,male,74.50,11.63,1.86
AUS,1993,female,81.00,10.41,2.05
AUS,1993,male,75.04,11.57,1.87
