# Population (projection) Germany by year, sex and broad age group; Destatis 2015; blog.datawrapper.de/weekly-chart-rustingfountain/
year,total_under30,total_over60,male_under30,female_over60,female_under30,male_over60
1950,44.532,14.5641,47.4758,13.8212,42.015,15.1994
1951,44.26,14.8647,47.4479,13.9861,41.5285,15.6174
1952,44.104,15.0972,47.5429,14.0696,41.1517,15.9794
1953,44.0641,15.3199,47.7484,14.1289,40.8937,16.3448
1954,44.03,15.5684,47.9443,14.2161,40.6545,16.7345
1955,43.9243,15.8143,48.0146,14.2952,40.3875,17.1278
1956,43.8541,16.1154,48.0982,14.4334,40.2036,17.5622
1957,43.6914,16.4688,47.9317,14.6749,40.0355,18.0154
1958,43.6617,16.7804,47.9182,14.8664,39.9803,18.4357
1959,43.7082,17.0733,47.9939,15.0536,39.9912,18.825
1960,43.7982,17.3412,48.1028,15.2159,40.0441,19.1947
1961,43.6738,17.8095,47.9674,15.6028,39.9227,19.7374
1962,43.9473,18.097,48.2281,15.7864,40.1884,20.1258
1963,44.2439,18.3339,48.5056,15.9351,40.4913,20.4462
1964,44.2424,18.6282,48.3934,16.1114,40.564,20.8585
1965,44.1995,18.8487,48.2726,16.242,40.5731,21.1694
1966,44.1249,19.0982,48.1369,16.3605,40.5516,21.5366
1967,43.9524,19.4324,47.9156,16.5926,40.4305,21.9561
1968,43.7894,19.5906,47.6666,16.5855,40.3309,22.2713
1969,43.528,19.6844,47.2995,16.4758,40.1407,22.5661
1970,42.9236,19.927,46.5493,16.5967,39.6668,22.9183
1971,42.664,19.9982,46.1929,16.5095,39.4829,23.143
1972,42.5948,20.1611,46.059,16.5125,39.4658,23.4568
1973,42.4696,20.2725,45.8837,16.4386,39.3779,23.7444
1974,42.2607,20.4526,45.6233,16.465,39.2224,24.0557
1975,42.3207,20.3834,45.678,16.2773,39.2942,24.085
1976,42.3183,20.0726,45.6692,15.8851,39.2987,23.8462
1977,42.1894,19.7039,45.5098,15.4517,39.1953,23.5382
1978,42.0494,19.313,45.3514,14.9785,39.0682,23.2264
1979,41.8601,19.2021,45.1396,14.7549,38.8896,23.2304
1980,41.7062,19.3271,44.9799,14.704,38.7286,23.532
1981,41.4793,19.4856,44.7056,14.735,38.5414,23.8117
1982,41.1516,19.6311,44.3208,14.7673,38.2652,24.0608
1983,40.8052,19.712,43.9205,14.7415,37.9666,24.2408
1984,40.4254,19.8393,43.5029,14.7548,37.6206,24.4733
1985,40.1005,19.9549,43.1123,14.8142,37.349,24.6512
1986,39.8189,20.0136,42.7515,14.8817,37.1308,24.7177
1987,39.2479,20.1672,41.9617,15.1395,36.7466,24.8013
1988,39.0091,20.2627,41.6383,15.3611,36.5757,24.7991
1989,38.7551,20.2906,41.3001,15.5181,36.3883,24.7291
1990,38.4313,20.3473,40.8927,15.7076,36.1329,24.6798
1991,37.9797,20.3647,40.3539,15.849,35.7529,24.6002
1992,37.5366,20.3302,39.8361,15.9324,35.3667,24.48
1993,36.9325,20.3462,39.1464,16.0747,34.839,24.3854
1994,36.2245,20.6408,38.3237,16.5052,34.2365,24.5574
1995,35.5802,20.9726,37.5772,16.9563,33.6846,24.7848
1996,34.9544,21.339,36.8546,17.4495,33.1476,25.0369
1997,34.338,21.7735,36.1615,18.0095,32.6025,25.3559
1998,33.736,22.3032,35.4798,18.6526,32.0744,25.7815
